id,book_id,year,month,day
1,631,2021,3,30
1,1146,2021,3,30
1,390,2021,3,30
1,390,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2081,2021,3,30
1,2081,2021,3,30
1,720,2021,3,30
1,2295,2021,3,30
1,2295,2021,3,30
1,323,2021,3,30
1,2382,2021,3,30
1,1003,2021,3,30
1,2382,2021,3,30
1,2382,2021,3,30
1,2382,2021,3,30
1,2382,2021,3,30
1,2382,2021,3,30
1,5,2021,3,30
1,1,2021,3,30
1,1,2021,3,30
1,1,2021,3,30
1,1,2021,3,30
1,1,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,1,2021,3,30
1,3,2021,3,30
1,3,2021,3,30
1,3,2021,3,30
1,3,2021,3,30
1,3,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,774,2021,3,30
1,2,2021,3,30
1,2,2021,3,30
1,724,2021,3,30
1,1,2021,3,30
1,2,2021,3,30
1,1228,2021,4,1
1,1228,2021,4,1
1,1958,2021,4,1
1,1958,2021,4,1
1,1958,2021,4,1
1,1958,2021,4,1
1,1958,2021,4,1
1,1958,2021,4,1
1,1958,2021,4,1
1,1958,2021,4,1
1,1958,2021,4,1
1,1,2021,4,1
1,1889,2021,4,1
1,1958,2021,4,1
1,1958,2021,4,1
1,1958,2021,4,1
1,343,2021,4,1
1,2400,2021,4,1
1,2079,2021,4,1
1,2080,2021,4,1
1,661,2021,4,1
1,2382,2021,4,1
1,343,2021,4,1
1,2050,2021,4,1
1,2050,2021,4,1
1,672,2021,4,1
1,2060,2021,4,1
1,672,2021,4,1
1,2059,2021,4,1
1,2079,2021,4,1
1,5,2021,4,1
1,1000,2021,4,1
1,1004,2021,4,1
1,1004,2021,4,1
1,1339,2021,4,4
1,1,2021,4,4
1,2,2021,4,4
1,3,2021,4,4
1,4,2021,4,4
1,631,2021,4,4
1,631,2021,4,4
1,631,2021,4,4
1,494,2021,4,4
1,631,2021,4,4
1,631,2021,4,4
1,501,2021,4,4
1,1,2021,4,4
1,1,2021,4,4
1,631,2021,4,4
1,631,2021,4,4
1,631,2021,4,4
1,631,2021,4,4
1,1,2021,4,4
1,1,2021,4,4
1,1184,2021,4,4
1,1184,2021,4,4
1,631,2021,4,4
1,631,2021,4,15
1,1,2021,4,15
1,1457,2021,4,15
1,946,2021,4,15
1,631,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,495,2021,7,1
1,1794,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,631,2021,7,1
1,631,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,494,2021,7,1
1,631,2021,7,1
1,527,2021,7,1
1,631,2021,7,1
1,631,2021,7,1
1,527,2021,7,1
1,527,2021,7,1
1,527,2021,7,1
1,527,2021,7,1
1,631,2021,7,1
1,258,2021,7,9
1,258,2021,7,9
1,258,2021,7,9
1,258,2021,7,9
1,258,2021,7,9
1,258,2021,7,9
1,258,2021,7,9
1,258,2021,7,9
1,258,2021,7,9
1,258,2021,7,9
1,258,2021,7,9
1,258,2021,7,9
1,631,2021,7,9
1,631,2021,7,9
1,494,2021,7,9
1,1,2021,7,9
1,186,2021,7,9
1,186,2021,7,9
1,2364,2021,7,9
1,631,2021,7,9
1,494,2021,7,9
1,527,2021,7,9
1,561,2021,7,9
1,631,2021,7,9
1,527,2021,7,9
1,527,2021,7,9
1,950,2021,7,10
1,950,2021,7,10
1,950,2021,7,10
1,1,2021,7,10
1,1,2021,7,10
1,1228,2021,7,10
1,527,2021,7,10
1,631,2021,7,10
1,1,2021,7,10
1,1,2021,7,10
1,876,2021,7,10
1,876,2021,7,10
1,527,2021,7,10
