user_id,department,book_id,year,month,date
3,DIT,1958,2021,4,1
3,DIT,1958,2021,4,1
3,DIT,1958,2021,4,1
3,DIT,1958,2021,4,1
3,DIT,1958,2021,4,1
3,DIT,1958,2021,4,1
3,DIT,1,2021,4,1
3,DIT,1889,2021,4,1
3,DIT,1958,2021,4,1
3,DIT,1958,2021,4,1
3,DIT,1958,2021,4,1
3,DIT,343,2021,4,1
3,DIT,2400,2021,4,1
3,DIT,2079,2021,4,1
3,DIT,2080,2021,4,1
3,DIT,661,2021,4,1
3,DIT,2382,2021,4,1
3,DIT,343,2021,4,1
3,DIT,2050,2021,4,1
3,DIT,2050,2021,4,1
3,DIT,672,2021,4,1
3,DIT,2060,2021,4,1
3,DIT,672,2021,4,1
3,DIT,2059,2021,4,1
3,DIT,2079,2021,4,1
3,DIT,5,2021,4,1
3,DIT,1000,2021,4,1
3,DIT,1004,2021,4,1
3,DIT,1004,2021,4,1
3,DIT,1339,2021,4,4
3,DIT,1,2021,4,4
3,DIT,2,2021,4,4
3,DIT,3,2021,4,4
3,DIT,4,2021,4,4
2,DCE,631,2021,4,4
2,DCE,631,2021,4,4
2,DCE,631,2021,4,4
2,DCE,494,2021,4,4
2,DCE,631,2021,4,4
2,DCE,631,2021,4,4
2,DCE,501,2021,4,4
2,DCE,1,2021,4,4
2,DCE,1,2021,4,4
2,DCE,631,2021,4,4
2,DCE,631,2021,4,4
2,DCE,631,2021,4,4
2,DCE,631,2021,4,4
2,DCE,1,2021,4,4
2,DCE,1,2021,4,4
2,DCE,1184,2021,4,4
2,DCE,1184,2021,4,4
2,DCE,631,2021,4,4
2,DCE,631,2021,4,15
2,DCE,1,2021,4,15
2,DCE,1457,2021,4,15
2,DCE,946,2021,4,15
2,DCE,631,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,495,2021,7,1
2,DCE,1794,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,631,2021,7,1
2,DCE,631,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,494,2021,7,1
2,DCE,631,2021,7,1
2,DCE,527,2021,7,1
2,DCE,631,2021,7,1
2,DCE,631,2021,7,1
2,DCE,527,2021,7,1
2,DCE,527,2021,7,1
2,DCE,527,2021,7,1
2,DCE,527,2021,7,1
2,DCE,631,2021,7,1
2,DCE,258,2021,7,9
2,DCE,258,2021,7,9
2,DCE,258,2021,7,9
2,DCE,258,2021,7,9
2,DCE,258,2021,7,9
2,DCE,258,2021,7,9
2,DCE,258,2021,7,9
2,DCE,258,2021,7,9
2,DCE,258,2021,7,9
2,DCE,258,2021,7,9
2,DCE,258,2021,7,9
2,DCE,258,2021,7,9
2,DCE,631,2021,7,9
2,DCE,631,2021,7,9
2,DCE,494,2021,7,9
2,DCE,1,2021,7,9
2,DCE,186,2021,7,9
2,DCE,186,2021,7,9
2,DCE,2364,2021,7,9
2,DCE,631,2021,7,9
2,DCE,494,2021,7,9
2,DCE,527,2021,7,9
2,DCE,561,2021,7,9
2,DCE,631,2021,7,9
2,DCE,527,2021,7,9
2,DCE,527,2021,7,9
2,DCE,950,2021,7,10
2,DCE,950,2021,7,10
2,DCE,950,2021,7,10
2,DCE,1,2021,7,10
2,DCE,1,2021,7,10
2,DCE,1228,2021,7,10
2,DCE,527,2021,7,10
2,DCE,631,2021,7,10
2,DCE,1,2021,7,10
2,DCE,1,2021,7,10
2,DCE,876,2021,7,10
2,DCE,876,2021,7,10
2,DCE,527,2021,7,10
